measured_at,run_id,backend,page,trait,cer,problem,structure,backend_status,prompt_sha,render_version,endpoint,served_by,prompt_tokens,completion_tokens,reasoning_tokens,cost
2026-08-23T19:05:25.738Z,32659983194,openrouter/anthropic/claude-sonnet-5,01,clean-prose,0.000000,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/anthropic/claude-sonnet-5,02,rushed-prose,0.000000,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/anthropic/claude-sonnet-5,03,bulleted-list,0.005102,,list:ok,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/anthropic/claude-sonnet-5,04,numbered-list,0.009615,,list:ok,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/anthropic/claude-sonnet-5,05,table,0.030675,,table:ok,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/anthropic/claude-sonnet-5,06,formula,0.023810,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/anthropic/claude-sonnet-5,07,mixed-language,0.000000,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/anthropic/claude-sonnet-5,08,diagram,0.520833,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/anthropic/claude-sonnet-5,09,nearly-empty,0.000000,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/anthropic/claude-sonnet-5,10,dense,0.007134,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/anthropic/claude-sonnet-5,11,numbers,0.034783,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/anthropic/claude-sonnet-5,12,special-chars,0.014006,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/anthropic/claude-sonnet-5,13,corrections,0.185841,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/anthropic/claude-sonnet-5,14,margin-note,0.189744,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/google/gemini-2.5-flash,01,clean-prose,0.000000,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/google/gemini-2.5-flash,02,rushed-prose,0.012000,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/google/gemini-2.5-flash,03,bulleted-list,0.015306,,list:ok,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/google/gemini-2.5-flash,04,numbered-list,0.000000,,list:ok,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/google/gemini-2.5-flash,05,table,0.049080,,table:ok,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/google/gemini-2.5-flash,06,formula,0.083333,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/google/gemini-2.5-flash,07,mixed-language,0.009547,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/google/gemini-2.5-flash,08,diagram,0.187500,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/google/gemini-2.5-flash,09,nearly-empty,0.000000,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/google/gemini-2.5-flash,10,dense,0.010702,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/google/gemini-2.5-flash,11,numbers,0.034783,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/google/gemini-2.5-flash,12,special-chars,0.019608,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/google/gemini-2.5-flash,13,corrections,0.115044,,,pass,,,,,,,,
2026-08-23T19:05:25.738Z,32659983194,openrouter/google/gemini-2.5-flash,14,margin-note,0.194872,,,pass,,,,,,,,
